review_id,customer_id,product_id,rating,review_text,review_date
1,388,23,1,great service,9/15/2022
2,861,397,3,very good product,9/10/2004
3,130,342,1,woow,12/19/2006
4,713,331,4,very good product,4/30/2017
5,225,165,2,amazing,3/6/2017
6,715,392,5,great service,10/14/2009
7,314,255,1,woow,3/10/2009
8,456,191,5,amazing,12/22/2024
9,689,332,1,lovely,7/3/2017
10,321,172,2,lovely,2/17/2023
11,229,53,3,good,5/18/2006
12,677,14,4,woow,12/30/2022
13,351,256,4,Useful,10/20/2016
14,26,117,3,Useful,11/19/2023
15,284,306,2,amazing,5/29/2012
16,539,130,5,great service,12/18/2014
17,427,102,4,lovely,8/15/2004
18,231,299,5,Useful,9/13/2023
19,358,232,2,amazing,9/13/2016
20,232,97,2,good,7/29/2012
21,261,275,2,great service,5/21/2023
22,558,366,5,Useful,3/12/2016
23,698,378,2,lovely,7/2/2014
24,610,24,3,very good product,3/26/2004
25,728,285,3,great service,7/8/2011
26,962,115,1,lovely,10/13/2000
27,297,129,4,lovely,1/14/2001
28,157,223,4,amazing,10/13/2004
29,720,356,3,amazing,12/9/2003
30,855,107,1,very good product,5/1/2024
31,509,239,1,I will buy more,7/5/2005
32,24,175,3,I will buy more,5/23/2017
33,122,45,4,woow,6/25/2020
34,910,124,3,lovely,7/25/2024
35,557,200,3,lovely,10/21/2010
36,597,283,5,woow,4/3/2008
37,863,397,1,great service,1/2/2018
38,123,350,2,Useful,12/8/2015
39,55,7,4,amazing,7/26/2022
40,684,3,3,very good product,6/1/2015
41,941,169,5,great service,4/2/2007
42,967,342,5,lovely,6/21/2011
43,129,370,5,amazing,1/6/2022
44,571,20,2,I will buy more,12/1/2007
45,328,77,3,woow,8/25/2007
46,711,107,2,I will buy more,5/31/2000
47,384,14,4,I will buy more,4/3/2007
48,876,138,1,I will buy more,8/28/2011
49,354,335,1,good,4/6/2010
50,241,361,3,woow,4/3/2016
51,828,333,4,lovely,6/14/2020
52,347,51,4,very good product,5/1/2024
53,160,342,1,great service,8/24/2006
54,221,351,5,Useful,7/25/2007
55,447,209,4,amazing,9/17/2024
56,241,182,3,great service,8/27/2009
57,316,298,3,lovely,1/15/2021
58,146,83,1,very good product,2/27/2006
59,402,267,2,amazing,6/3/2014
60,414,156,3,woow,5/7/2007
61,884,359,2,great service,2/22/2022
62,577,290,4,Useful,7/11/2007
63,829,304,5,good,9/25/2014
64,618,355,4,great service,6/20/2010
65,265,47,1,great service,4/10/2019
66,989,195,1,Useful,7/31/2018
67,655,397,1,good,3/10/2017
68,392,39,5,good,3/20/2013
69,978,246,3,great service,7/16/2006
70,269,383,1,very good product,2/22/2020
71,75,379,1,woow,3/20/2013
72,775,326,1,amazing,3/17/2012
73,296,249,4,very good product,2/23/2014
74,363,283,2,lovely,12/6/2024
75,119,106,4,very good product,1/28/2014
76,420,261,2,good,11/14/2012
77,425,92,5,woow,3/29/2021
78,396,53,1,lovely,3/4/2007
79,519,214,4,good,8/10/2015
80,964,70,3,very good product,4/5/2021
81,403,176,4,amazing,1/21/2004
82,933,126,3,I will buy more,10/18/2016
83,295,102,3,very good product,7/10/2018
84,904,153,4,good,11/24/2001
85,679,171,2,very good product,11/12/2011
